Player,Pos,3P,TRB,BLK
Lou Williams,SG,2.0,2.5,0.2
Jonas Valanciunas,C,0.0,9.5,0.8
Dwyane Wade,SG,0.8,4.5,0.7
Manu Ginobili,SG,1.3,2.3,0.2
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Salah Mejri,C,0.0,4.2,0.8
Rodney Hood,SG,1.9,3.4,0.2
J.R. Smith,SG,2.3,2.8,0.3
Andrew Bogut,C,0.0,8.1,0.9
Courtney Lee,SG,1.4,3.4,0.3
Nik Stauskas,SG,1.7,2.8,0.4
Marcin Gortat,C,0.0,10.4,0.7
Jodie Meeks,SG,1.6,2.1,0.1
Marcus Smart,SG,1.2,3.9,0.4
Timofey Mozgov,C,0.0,4.9,0.6
Wesley Matthews,SG,2.4,3.5,0.2
Bradley Beal,SG,2.9,3.1,0.3
Austin Rivers,SG,1.5,2.2,0.1
Allen Crabbe,SG,1.7,2.9,0.3
Montrezl Harrell,C,0.0,3.8,0.7
Steven Adams,C,0.0,7.7,1.0
Anthony Davis,C,0.5,11.8,2.2
Willie Cauley-Stein,C,0.0,4.5,0.6
Victor Oladipo,SG,1.9,4.3,0.3
Tristan Thompson,C,0.0,9.2,1.1
Will Barton,SG,1.5,4.3,0.5
Chris Andersen,C,0.0,2.6,0.6
John Henson,C,0.0,5.1,1.3
Alex Abrines,SG,1.4,1.3,0.1
Garrett Temple,SG,1.3,2.8,0.4
Hassan Whiteside,C,0.0,14.1,2.1
Pau Gasol,C,0.9,7.8,1.1
Alex Len,C,0.0,6.6,1.3
Patrick Beverley,SG,1.6,5.9,0.4
Roy Hibbert,C,0.0,3.2,1.0
Nicolas Batum,SG,1.8,6.2,0.4
Joel Embiid,C,1.2,7.8,2.5
Devin Booker,SG,1.9,3.2,0.3
Jordan Clarkson,SG,1.4,3.0,0.1
Buddy Hield,SG,1.8,3.3,0.1
Justin Holiday,SG,1.2,2.7,0.4
Evan Fournier,SG,1.9,3.1,0.1
Richaun Holmes,C,0.5,5.5,1.0
Iman Shumpert,SG,1.2,2.9,0.4
DeMarcus Cousins,C,1.8,11.0,1.3
Alexis Ajinca,C,0.0,4.5,0.6
Josh Richardson,SG,1.4,3.2,0.7
Wayne Ellington,SG,2.4,2.1,0.1
Klay Thompson,SG,3.4,3.7,0.5
Jordan Crawford,SG,1.9,1.8,0.1
JaVale McGee,C,0.0,3.2,0.9
E'Twaun Moore,SG,1.1,2.1,0.4
J.J. Redick,SG,2.6,2.2,0.2
Dwight Howard,C,0.0,12.7,1.2
Andre Drummond,C,0.0,13.8,1.1
Dion Waiters,SG,1.8,3.3,0.4
Al Horford,C,1.3,6.8,1.3
Tarik Black,C,0.0,5.1,0.7
Willie Reed,C,0.0,4.7,0.7
Marco Belinelli,SG,1.4,2.4,0.1
Justin Hamilton,C,0.9,4.1,0.7
Dewayne Dedmon,C,0.0,6.5,0.8
Danny Green,SG,1.7,3.3,0.8
Frank Kaminsky,C,1.5,4.5,0.5
Tony Snell,SG,1.8,3.1,0.2
Mason Plumlee,C,0.0,7.5,1.1
Ian Mahinmi,C,0.0,4.8,0.8
Marreese Speights,C,1.3,4.5,0.5
Channing Frye,C,1.9,3.9,0.5
Jason Smith,C,0.5,3.5,0.7
Bismack Biyombo,C,0.0,7.0,1.1
Rudy Gobert,C,0.0,12.8,2.6
Denzel Valentine,SG,1.3,2.6,0.1
Clint Capela,C,0.0,8.1,1.2
Brook Lopez,C,1.8,5.4,1.7
Marc Gasol,C,1.4,6.3,1.3
Avery Bradley,SG,2.0,6.1,0.2
Troy Daniels,SG,2.1,1.5,0.1
A.J. Hammons,C,0.2,1.6,0.6
Nene Hilario,C,0.0,4.2,0.6
